region_id,correlation,p_value,std_dev,mean_z_score
10_100027866_100028093,0.12030380616099741,0.043905287643833994,0.010676160705372017,-6.321554588612991e-18
10_100028189_100028526,0.2149879209823573,0.0002830581123887715,0.02392562215231923,1.2643109177225981e-17
10_100206158_100206745,0.27563289977437416,2.7182208387301395e-06,0.025847271818622262,-1.0114487341780785e-16
10_100991816_100991936,0.30198795719895616,2.460771288451535e-07,0.01319007259263278,1.580388647153248e-17
10_100992030_100992494,0.2783379404133118,2.1480381141050994e-06,0.04097483806979796,0.0
10_100992581_100992928,0.13138054371125002,0.027659955186645803,0.028377606104670567,-9.482331882919487e-18
10_100993508_100994820,0.7272498841685764,1.6442024859700157e-47,0.14728935456682576,3.160777294306496e-17
10_100995925_100996250,0.7523000462502883,1.7267475090700502e-52,0.1862810339020219,6.321554588612991e-18
10_101089032_101089152,0.2604905936555497,9.699676037034665e-06,0.07169108542712387,-6.005476859182342e-17
10_101089264_101090195,0.3434412765119896,3.3743361781471122e-09,0.09636361600605071,4.109010482598444e-17
10_101279861_101280585,0.5248205657647755,2.725317996633969e-21,0.11616049697594488,6.321554588612992e-17
10_101283159_101283487,0.4522389821439454,1.4300069537117664e-15,0.05061922059669764,-7.58586550633559e-17
10_101290447_101291011,0.8515118991384705,3.302990772110799e-80,0.2348858229702752,7.58586550633559e-17
10_101292266_101292737,0.6967967701188753,3.708937424493177e-42,0.156412408230708,-5.689399129751692e-17
10_101292852_101292972,0.3296596631806599,1.5094405861780915e-08,0.053801899043801685,4.109010482598444e-17
10_101293087_101293441,0.5726758780984211,6.911283029892614e-26,0.07384266189063612,-8.376059829912213e-17
10_101294596_101294944,0.2175215762159037,0.0002386309210612713,0.04811039632277903,-3.9509716178831196e-17
10_101295051_101295171,0.12159149369465848,0.041677882518093304,0.014698968424351389,-3.476855023737145e-17
10_101295393_101295626,0.18098946609004726,0.002322135504712942,0.04128366242707786,4.899204806175068e-17
10_101296692_101297263,0.6567721551475486,4.573399629077845e-36,0.14892657360028866,3.792932753167795e-17
10_101300099_101300827,0.48688701452619493,3.92619055681435e-18,0.03249931192460916,6.321554588612992e-17
10_101380029_101381445,0.2032519755008687,0.0006085267798848613,5.597053111741407e-05,-1.8964663765838974e-17
